inventory_id,item_id,warehouse_id,stock_level,reorder_point,reorder_frequency_days,lead_time_days,last_restock_date,stockout_count_last_month,turnover_ratio
166,ITM10165,WH_L88,158,66,8,6,2024-08-31,4,5.6
167,ITM10166,WH_L93,140,94,8,7,2024-01-29,7,3.37
168,ITM10167,WH_L15,84,64,5,5,2024-11-22,9,8.79
169,ITM10168,WH_L88,126,25,12,8,2024-01-05,8,8.17
170,ITM10169,WH_L69,166,23,3,2,2024-12-25,6,12.11
171,ITM10170,WH_L97,156,48,14,5,2024-03-28,3,9.96
172,ITM10171,WH_L35,430,37,6,3,2024-02-12,3,11.0
173,ITM10172,WH_L99,181,60,12,4,2024-09-12,2,2.29
174,ITM10173,WH_L83,447,58,14,7,2024-08-10,7,1.39
175,ITM10174,WH_L44,471,18,8,6,2024-11-26,5,14.57
176,ITM10175,WH_L15,119,67,13,2,2024-06-18,9,6.98
177,ITM10176,WH_L38,357,54,14,6,2024-10-16,5,6.53
178,ITM10177,WH_L56,418,31,12,6,2024-02-18,9,1.49
179,ITM10178,WH_L21,326,41,4,6,2024-09-27,9,2.66
180,ITM10179,WH_L59,160,78,9,7,2024-01-22,8,14.17
181,ITM10180,WH_L1,102,96,9,2,2024-04-27,2,10.73
182,ITM10181,WH_L93,196,78,13,2,2024-04-18,3,6.73
183,ITM10182,WH_L93,217,51,6,8,2024-12-20,2,13.66
184,ITM10183,WH_L34,131,62,6,6,2024-10-17,2,9.26
185,ITM10184,WH_L65,75,68,3,8,2024-08-31,0,11.45
186,ITM10185,WH_L98,479,83,4,8,2024-05-18,9,7.04
187,ITM10186,WH_L23,198,48,11,4,2024-01-24,5,7.04
188,ITM10187,WH_L65,440,24,12,7,2024-02-08,8,1.96
189,ITM10188,WH_L14,420,80,10,7,2024-12-16,4,11.28
190,ITM10189,WH_L81,205,38,10,5,2024-05-23,9,2.39
191,ITM10190,WH_L39,490,12,11,9,2024-10-05,1,11.7
192,ITM10191,WH_L82,237,92,9,8,2024-10-15,9,3.67
193,ITM10192,WH_L65,432,19,11,7,2024-12-02,3,4.46
194,ITM10193,WH_L78,436,38,12,6,2024-01-17,5,13.85
195,ITM10194,WH_L26,335,88,14,9,2024-04-01,6,7.6
196,ITM10195,WH_L20,494,44,4,3,2024-06-10,6,2.75
197,ITM10196,WH_L48,236,15,8,6,2024-01-09,3,13.67
198,ITM10197,WH_L98,139,21,5,2,2024-04-16,9,7.33
199,ITM10198,WH_L21,458,47,13,7,2024-10-27,9,2.83
200,ITM10199,WH_L70,413,86,8,9,2024-03-14,4,6.47
201,ITM10200,WH_L100,194,28,5,7,2024-12-30,3,9.25
202,ITM10201,WH_L68,42,76,10,5,2024-07-22,9,6.07
203,ITM10202,WH_L1,232,17,13,8,2024-02-09,5,13.94
204,ITM10203,WH_L77,424,17,6,3,2024-06-02,6,4.78
205,ITM10204,WH_L42,254,93,14,7,2024-03-24,1,3.46
206,ITM10205,WH_L63,32,56,12,5,2024-10-15,9,4.09
207,ITM10206,WH_L3,120,13,8,5,2024-05-03,2,2.17
208,ITM10207,WH_L15,436,60,11,3,2024-10-17,7,7.33
209,ITM10208,WH_L47,43,94,4,6,2024-07-18,6,13.3
210,ITM10209,WH_L40,383,76,4,6,2024-12-12,0,5.27
211,ITM10210,WH_L31,30,54,9,6,2024-10-03,3,4.62
212,ITM10211,WH_L8,292,17,4,4,2024-06-18,4,12.72
213,ITM10212,WH_L31,471,96,4,8,2024-07-15,2,5.28
214,ITM10213,WH_L73,450,25,6,9,2024-03-12,3,7.68
215,ITM10214,WH_L11,300,86,11,8,2024-12-18,9,1.44
216,ITM10215,WH_L11,113,76,10,6,2024-02-10,9,5.02
217,ITM10216,WH_L94,220,18,4,3,2024-09-13,9,2.83
218,ITM10217,WH_L63,40,69,10,4,2024-06-26,6,2.48
219,ITM10218,WH_L9,359,87,6,8,2024-01-28,7,7.04
220,ITM10219,WH_L98,486,86,4,6,2024-02-20,8,4.88
221,ITM10220,WH_L69,230,80,13,4,2024-08-11,1,3.33
222,ITM10221,WH_L99,159,24,12,9,2024-04-28,3,8.16
223,ITM10222,WH_L17,312,80,9,3,2024-02-08,0,11.98
224,ITM10223,WH_L17,317,50,8,6,2024-06-23,2,11.29
225,ITM10224,WH_L85,420,31,12,9,2024-11-05,7,4.51
226,ITM10225,WH_L61,120,33,7,2,2024-11-10,6,4.68
227,ITM10226,WH_L71,323,53,13,9,2024-10-31,7,11.25
228,ITM10227,WH_L22,378,10,3,7,2024-07-22,5,8.8
229,ITM10228,WH_L34,47,19,4,3,2024-06-16,4,11.39
230,ITM10229,WH_L68,60,89,10,9,2024-01-16,9,1.02
231,ITM10230,WH_L78,374,81,3,9,2024-11-20,8,2.22
232,ITM10231,WH_L55,322,65,5,5,2024-05-19,4,12.23
233,ITM10232,WH_L28,165,98,4,5,2024-08-18,8,12.92
234,ITM10233,WH_L70,275,59,7,9,2024-09-08,3,5.81
235,ITM10234,WH_L97,481,21,6,9,2024-04-26,4,14.42
236,ITM10235,WH_L94,246,98,9,3,2024-07-01,0,5.22
237,ITM10236,WH_L89,255,90,7,5,2024-10-10,5,13.46
238,ITM10237,WH_L26,380,69,10,8,2024-07-11,2,6.9
239,ITM10238,WH_L92,399,35,6,3,2024-08-09,9,8.87
240,ITM10239,WH_L40,474,87,14,2,2024-04-05,1,10.01
241,ITM10240,WH_L52,32,50,8,3,2024-12-14,5,2.86
242,ITM10241,WH_L86,229,45,6,6,2024-10-26,0,1.52
243,ITM10242,WH_L84,248,32,4,6,2024-12-04,8,6.98
244,ITM10243,WH_L48,416,52,3,4,2024-07-13,4,3.24
245,ITM10244,WH_L57,119,15,3,5,2024-02-13,6,8.69
246,ITM10245,WH_L67,50,78,10,9,2024-11-12,9,7.35
247,ITM10246,WH_L58,405,52,6,7,2024-05-31,8,2.71
248,ITM10247,WH_L16,35,34,7,5,2024-05-06,8,10.32
249,ITM10248,WH_L32,156,27,13,8,2024-02-07,6,1.29
250,ITM10249,WH_L29,348,71,10,3,2024-02-12,3,2.77
251,ITM10250,WH_L9,185,22,14,7,2024-05-17,3,10.8
252,ITM10251,WH_L44,478,52,9,7,2024-03-19,6,8.39
253,ITM10252,WH_L3,329,87,10,9,2024-07-13,7,4.95
254,ITM10253,WH_L76,459,37,10,9,2024-12-30,6,3.52
255,ITM10254,WH_L71,489,27,8,5,2024-11-20,9,9.99
256,ITM10255,WH_L30,119,68,12,7,2024-03-19,3,3.88
257,ITM10256,WH_L76,128,69,4,7,2024-07-18,3,14.78
258,ITM10257,WH_L29,362,72,8,6,2024-06-11,7,13.17
259,ITM10258,WH_L1,192,66,3,2,2024-07-03,8,2.85
260,ITM10259,WH_L10,256,60,3,9,2024-02-24,6,13.03
261,ITM10260,WH_L91,181,65,13,3,2024-02-16,2,5.83
262,ITM10261,WH_L81,412,36,5,5,2024-01-03,9,7.86
263,ITM10262,WH_L8,235,41,5,9,2024-06-06,0,3.0
264,ITM10263,WH_L30,283,18,13,6,2024-08-15,4,2.66
265,ITM10264,WH_L9,282,93,7,8,2024-07-03,5,13.12
266,ITM10265,WH_L5,311,77,3,9,2024-05-18,8,9.82
267,ITM10266,WH_L43,293,55,12,8,2024-02-22,4,7.45
268,ITM10267,WH_L10,22,76,8,4,2024-03-08,0,1.51
269,ITM10268,WH_L66,47,35,9,7,2024-02-14,3,13.91
270,ITM10269,WH_L31,345,17,12,7,2024-04-05,1,6.27
271,ITM10270,WH_L36,447,15,14,5,2024-08-08,3,6.83
272,ITM10271,WH_L86,168,89,13,2,2024-08-17,6,5.06
273,ITM10272,WH_L63,47,33,5,2,2024-10-12,8,13.48
274,ITM10273,WH_L28,329,57,6,5,2024-10-11,2,5.82
275,ITM10274,WH_L70,457,54,12,5,2024-09-19,2,3.44
276,ITM10275,WH_L17,84,22,13,6,2024-07-27,3,8.01
277,ITM10276,WH_L93,375,78,12,8,2024-02-22,6,11.94
278,ITM10277,WH_L74,40,34,14,5,2024-01-14,5,6.2
279,ITM10278,WH_L74,271,29,12,8,2024-02-15,4,10.13
280,ITM10279,WH_L61,254,91,12,9,2024-06-30,3,5.26
281,ITM10280,WH_L32,246,91,12,9,2024-10-10,7,11.08
282,ITM10281,WH_L61,32,75,5,4,2024-02-17,3,10.36
283,ITM10282,WH_L53,332,83,3,8,2024-11-01,2,10.53
284,ITM10283,WH_L25,68,54,10,6,2024-11-02,6,10.04
285,ITM10284,WH_L13,137,56,12,9,2024-06-15,1,3.19
286,ITM10285,WH_L13,73,72,12,7,2024-07-16,3,13.43
287,ITM10286,WH_L85,157,85,4,7,2024-01-07,7,9.2
288,ITM10287,WH_L56,72,86,3,9,2024-05-29,3,6.35
289,ITM10288,WH_L46,63,64,10,9,2024-07-30,9,3.41
290,ITM10289,WH_L55,322,84,9,9,2024-07-17,6,11.97
291,ITM10290,WH_L53,72,28,9,8,2024-02-13,1,8.13
292,ITM10291,WH_L60,93,44,6,7,2024-10-13,4,3.06
293,ITM10292,WH_L94,65,62,13,7,2024-05-04,3,13.9
294,ITM10293,WH_L7,32,35,11,3,2024-10-19,8,2.49
295,ITM10294,WH_L87,184,23,8,9,2024-09-23,6,8.34
296,ITM10295,WH_L84,121,54,4,4,2024-03-27,8,9.55
297,ITM10296,WH_L83,299,53,3,9,2024-12-16,9,14.99
298,ITM10297,WH_L13,277,97,3,6,2024-07-13,6,2.97
299,ITM10298,WH_L8,489,74,11,6,2024-03-27,1,9.59
300,ITM10299,WH_L52,356,60,6,7,2024-03-12,1,7.67
301,ITM10300,WH_L94,375,52,7,9,2024-05-17,1,4.6
302,ITM10301,WH_L44,417,95,5,2,2024-06-03,4,14.19
303,ITM10302,WH_L14,157,32,6,6,2024-05-17,0,12.07
304,ITM10303,WH_L32,182,65,14,9,2024-09-09,6,11.88
305,ITM10304,WH_L25,428,28,10,4,2024-03-15,1,13.59
306,ITM10305,WH_L25,406,91,6,5,2024-02-02,3,11.15
307,ITM10306,WH_L69,130,85,11,9,2024-03-26,8,8.09
308,ITM10307,WH_L58,121,64,11,4,2024-08-10,7,6.48
309,ITM10308,WH_L18,36,69,8,7,2024-05-21,9,10.86
310,ITM10309,WH_L55,287,68,4,7,2024-08-03,1,9.44
311,ITM10310,WH_L24,201,42,14,3,2024-06-02,3,8.6
312,ITM10311,WH_L36,391,28,12,8,2024-09-04,3,9.25
313,ITM10312,WH_L60,43,37,13,6,2024-02-09,1,10.17
314,ITM10313,WH_L32,48,61,9,8,2024-07-03,1,14.56
315,ITM10314,WH_L10,190,58,11,9,2024-05-08,4,11.54
316,ITM10315,WH_L57,428,46,8,8,2024-05-06,3,3.47
317,ITM10316,WH_L71,247,35,5,6,2024-11-16,7,7.53
318,ITM10317,WH_L13,397,49,9,6,2024-09-10,3,10.5
319,ITM10318,WH_L7,207,89,7,9,2024-10-31,7,3.46
320,ITM10319,WH_L84,365,47,3,7,2024-11-11,4,14.06
321,ITM10320,WH_L70,249,86,5,6,2024-04-10,0,2.08
322,ITM10321,WH_L2,340,96,7,2,2024-08-22,8,9.55
323,ITM10322,WH_L12,359,63,9,2,2024-02-24,7,14.66
324,ITM10323,WH_L97,138,31,5,5,2024-03-10,0,11.19
325,ITM10324,WH_L31,175,25,8,6,2024-06-04,2,10.48
326,ITM10325,WH_L22,291,37,7,3,2024-01-04,2,14.96
327,ITM10326,WH_L53,194,44,3,5,2024-07-21,4,12.09
328,ITM10327,WH_L63,484,69,12,7,2024-06-19,6,14.58
329,ITM10328,WH_L62,123,54,8,6,2024-11-13,0,10.78
330,ITM10329,WH_L28,111,55,10,2,2024-07-13,0,10.32
331,ITM10330,WH_L52,205,81,3,3,2024-06-17,9,11.68
332,ITM10331,WH_L8,479,64,4,9,2024-08-13,5,3.64
333,ITM10332,WH_L22,302,95,6,5,2024-06-20,4,12.28
334,ITM10333,WH_L49,200,94,14,3,2024-08-08,2,14.58
335,ITM10334,WH_L1,189,35,4,6,2024-11-29,2,9.56
336,ITM10335,WH_L50,206,94,13,4,2024-10-31,3,1.17
337,ITM10336,WH_L34,194,34,11,3,2024-03-10,9,2.01
338,ITM10337,WH_L59,241,74,12,3,2024-06-02,1,4.29
339,ITM10338,WH_L37,252,15,10,7,2024-06-13,8,7.88
340,ITM10339,WH_L55,181,32,10,2,2024-11-04,3,6.79
341,ITM10340,WH_L90,440,73,6,9,2024-12-21,9,14.71
342,ITM10341,WH_L94,153,96,7,6,2024-04-12,2,14.24
343,ITM10342,WH_L72,410,52,6,3,2024-09-02,9,6.5
344,ITM10343,WH_L85,499,32,11,6,2024-06-09,6,12.12
345,ITM10344,WH_L92,243,39,4,2,2024-03-31,8,9.91
346,ITM10345,WH_L63,172,86,13,7,2024-07-22,1,4.4
347,ITM10346,WH_L20,52,27,10,6,2024-06-12,5,14.04
348,ITM10347,WH_L25,74,96,4,8,2024-05-29,4,4.63
349,ITM10348,WH_L38,461,88,3,2,2024-12-21,0,13.18
350,ITM10349,WH_L28,26,30,12,2,2024-11-20,6,9.93
351,ITM10350,WH_L8,263,66,5,9,2024-09-08,0,9.7
352,ITM10351,WH_L75,332,32,11,5,2024-10-21,9,12.74
353,ITM10352,WH_L95,145,54,14,7,2024-05-04,8,7.92
354,ITM10353,WH_L70,31,53,5,7,2024-06-15,3,12.95
355,ITM10354,WH_L8,35,91,11,9,2024-07-11,7,8.7
356,ITM10355,WH_L96,227,97,9,8,2024-05-23,0,14.79
357,ITM10356,WH_L41,62,56,12,6,2024-07-20,4,10.24
358,ITM10357,WH_L8,392,49,3,4,2024-07-05,2,6.24
359,ITM10358,WH_L7,480,60,12,8,2024-02-28,3,11.69
360,ITM10359,WH_L75,154,51,7,5,2024-10-15,3,8.14
361,ITM10360,WH_L62,247,16,11,7,2024-04-12,7,12.28
362,ITM10361,WH_L65,130,59,14,2,2024-10-30,9,12.67
363,ITM10362,WH_L68,326,57,5,7,2024-10-06,9,9.64
364,ITM10363,WH_L21,476,93,11,8,2024-04-02,2,13.21
365,ITM10364,WH_L8,179,15,7,4,2024-12-15,0,6.65
366,ITM10365,WH_L66,350,18,11,3,2024-10-08,4,1.8
367,ITM10366,WH_L11,283,66,12,3,2024-01-14,1,10.28
368,ITM10367,WH_L24,244,40,8,9,2024-08-24,5,11.7
369,ITM10368,WH_L9,490,30,11,7,2024-12-28,3,2.02
370,ITM10369,WH_L77,236,99,9,7,2024-04-17,8,11.79
371,ITM10370,WH_L9,475,49,9,5,2024-08-12,6,9.95
372,ITM10371,WH_L87,64,54,10,7,2024-05-29,1,2.63
373,ITM10372,WH_L31,233,86,9,4,2024-12-20,6,8.56
374,ITM10373,WH_L52,78,58,14,7,2024-02-05,9,2.52
375,ITM10374,WH_L16,151,96,11,6,2024-07-28,7,5.5
376,ITM10375,WH_L73,123,29,13,8,2024-12-10,2,12.26
377,ITM10376,WH_L32,214,26,11,9,2024-09-12,2,2.41
378,ITM10377,WH_L75,432,37,8,4,2024-03-12,1,7.43
379,ITM10378,WH_L77,176,50,9,5,2024-11-20,0,9.48
380,ITM10379,WH_L6,117,75,4,6,2024-06-04,2,14.17
381,ITM10380,WH_L80,245,34,11,6,2024-05-03,9,11.32
382,ITM10381,WH_L11,431,67,14,8,2024-05-09,6,2.95
383,ITM10382,WH_L54,224,50,3,3,2024-12-03,8,14.56
384,ITM10383,WH_L85,98,15,3,4,2024-03-19,8,7.69
385,ITM10384,WH_L75,143,84,5,8,2024-08-04,5,6.18
386,ITM10385,WH_L73,490,47,14,6,2024-07-12,5,2.8
387,ITM10386,WH_L67,447,15,8,5,2024-02-07,4,14.07
388,ITM10387,WH_L41,237,54,7,8,2024-08-17,1,9.21
389,ITM10388,WH_L34,23,84,4,3,2024-11-02,6,14.83
390,ITM10389,WH_L27,109,23,11,6,2024-09-02,0,3.43
391,ITM10390,WH_L86,123,75,12,8,2024-10-25,5,8.64
392,ITM10391,WH_L92,412,49,6,4,2024-07-24,3,2.54
393,ITM10392,WH_L41,138,12,6,3,2024-09-30,2,8.34
394,ITM10393,WH_L31,152,33,7,4,2024-09-16,0,13.46
395,ITM10394,WH_L34,331,28,10,4,2024-12-20,5,2.53
396,ITM10395,WH_L51,115,27,12,4,2024-08-02,6,4.78
