operations_id,item_id,warehouse_id,picking_time_seconds,order_fulfillment_rate,KPI_score
123,ITM10122,WH_L28,27,0.71,0.552
124,ITM10123,WH_L84,14,0.82,0.602
125,ITM10124,WH_L64,177,0.95,0.406
126,ITM10125,WH_L51,15,0.83,0.515
127,ITM10126,WH_L83,85,0.75,0.596
128,ITM10127,WH_L59,124,0.99,0.509
129,ITM10128,WH_L19,21,0.78,0.495
130,ITM10129,WH_L34,21,0.94,0.615
131,ITM10130,WH_L18,82,0.76,0.646
132,ITM10131,WH_L32,115,0.83,0.76
133,ITM10132,WH_L96,159,0.85,0.573
134,ITM10133,WH_L72,58,0.85,0.683
135,ITM10134,WH_L69,13,0.85,0.509
136,ITM10135,WH_L34,12,0.77,0.49
137,ITM10136,WH_L96,153,0.85,0.527
138,ITM10137,WH_L75,23,0.84,0.622
139,ITM10138,WH_L55,73,0.76,0.481
140,ITM10139,WH_L75,129,1.0,0.598
141,ITM10140,WH_L52,178,0.96,0.504
142,ITM10141,WH_L47,77,0.97,0.516
143,ITM10142,WH_L29,68,0.91,0.556
144,ITM10143,WH_L18,139,0.75,0.626
145,ITM10144,WH_L66,128,0.87,0.573
146,ITM10145,WH_L64,19,0.95,0.529
147,ITM10146,WH_L12,84,0.71,0.604
148,ITM10147,WH_L97,99,0.85,0.604
149,ITM10148,WH_L7,110,0.82,0.613
150,ITM10149,WH_L15,163,0.76,0.437
151,ITM10150,WH_L20,141,0.81,0.493
152,ITM10151,WH_L81,37,1.0,0.602
153,ITM10152,WH_L21,139,0.92,0.442
154,ITM10153,WH_L88,75,0.79,0.598
155,ITM10154,WH_L55,153,0.88,0.682
156,ITM10155,WH_L77,133,0.77,0.493
157,ITM10156,WH_L9,66,0.88,0.45
158,ITM10157,WH_L50,160,0.97,0.499
159,ITM10158,WH_L49,160,0.87,0.701
160,ITM10159,WH_L77,30,0.92,0.635
161,ITM10160,WH_L60,112,0.84,0.621
162,ITM10161,WH_L68,162,0.86,0.658
163,ITM10162,WH_L33,67,0.91,0.486
164,ITM10163,WH_L71,46,0.94,0.522
165,ITM10164,WH_L2,152,0.9,0.523
166,ITM10165,WH_L88,165,0.99,0.548
167,ITM10166,WH_L93,141,0.95,0.522
168,ITM10167,WH_L15,56,0.93,0.529
169,ITM10168,WH_L88,112,0.95,0.517
170,ITM10169,WH_L69,81,0.78,0.715
171,ITM10170,WH_L97,98,0.83,0.634
172,ITM10171,WH_L35,67,0.87,0.799
173,ITM10172,WH_L99,114,0.84,0.485
174,ITM10173,WH_L83,78,0.95,0.4
175,ITM10174,WH_L44,55,0.71,0.698
176,ITM10175,WH_L15,162,0.76,0.565
177,ITM10176,WH_L38,34,0.96,0.496
178,ITM10177,WH_L56,130,0.72,0.307
179,ITM10178,WH_L21,44,0.77,0.423
180,ITM10179,WH_L59,24,0.81,0.54
181,ITM10180,WH_L1,115,0.93,0.696
182,ITM10181,WH_L93,137,0.87,0.666
183,ITM10182,WH_L93,83,0.99,0.805
184,ITM10183,WH_L34,97,0.77,0.601
185,ITM10184,WH_L65,172,0.96,0.757
186,ITM10185,WH_L98,38,0.78,0.385
187,ITM10186,WH_L23,47,0.77,0.665
188,ITM10187,WH_L65,33,0.85,0.481
189,ITM10188,WH_L14,28,0.72,0.616
190,ITM10189,WH_L81,58,0.82,0.424
191,ITM10190,WH_L39,53,0.81,0.68
192,ITM10191,WH_L82,163,0.75,0.308
193,ITM10192,WH_L65,162,0.96,0.51
194,ITM10193,WH_L78,44,0.82,0.659
195,ITM10194,WH_L26,173,0.99,0.709
196,ITM10195,WH_L20,151,0.97,0.585
197,ITM10196,WH_L48,65,0.76,0.701
198,ITM10197,WH_L98,143,0.85,0.5
199,ITM10198,WH_L21,41,0.88,0.485
200,ITM10199,WH_L70,35,0.95,0.573
201,ITM10200,WH_L100,152,0.97,0.681
202,ITM10201,WH_L68,65,0.89,0.413
203,ITM10202,WH_L1,46,0.71,0.61
204,ITM10203,WH_L77,134,0.84,0.637
205,ITM10204,WH_L42,62,0.97,0.742
206,ITM10205,WH_L63,110,0.91,0.585
207,ITM10206,WH_L3,87,0.96,0.661
208,ITM10207,WH_L15,45,0.9,0.502
209,ITM10208,WH_L47,110,0.71,0.631
210,ITM10209,WH_L40,20,0.99,0.64
211,ITM10210,WH_L31,36,0.98,0.598
212,ITM10211,WH_L8,11,0.74,0.663
213,ITM10212,WH_L31,31,0.73,0.53
214,ITM10213,WH_L73,75,0.86,0.685
215,ITM10214,WH_L11,121,0.93,0.521
216,ITM10215,WH_L11,26,0.81,0.47
217,ITM10216,WH_L94,141,0.74,0.475
218,ITM10217,WH_L63,23,0.85,0.405
219,ITM10218,WH_L9,16,0.8,0.51
220,ITM10219,WH_L98,88,0.81,0.547
221,ITM10220,WH_L69,153,0.89,0.541
222,ITM10221,WH_L99,113,0.97,0.577
223,ITM10222,WH_L17,156,0.87,0.714
224,ITM10223,WH_L17,10,0.91,0.757
225,ITM10224,WH_L85,40,0.9,0.495
226,ITM10225,WH_L61,137,0.87,0.535
227,ITM10226,WH_L71,141,0.79,0.663
228,ITM10227,WH_L22,100,0.81,0.654
229,ITM10228,WH_L34,67,0.79,0.702
230,ITM10229,WH_L68,65,0.98,0.5
231,ITM10230,WH_L78,52,0.95,0.631
232,ITM10231,WH_L55,83,0.87,0.668
233,ITM10232,WH_L28,58,0.97,0.656
234,ITM10233,WH_L70,121,0.97,0.603
235,ITM10234,WH_L97,117,0.98,0.717
236,ITM10235,WH_L94,69,0.77,0.556
237,ITM10236,WH_L89,103,0.92,0.741
238,ITM10237,WH_L26,153,0.88,0.647
239,ITM10238,WH_L92,82,0.92,0.5
240,ITM10239,WH_L40,108,0.78,0.65
241,ITM10240,WH_L52,123,0.91,0.627
242,ITM10241,WH_L86,24,0.82,0.674
243,ITM10242,WH_L84,72,0.95,0.398
244,ITM10243,WH_L48,37,0.94,0.58
245,ITM10244,WH_L57,157,0.76,0.555
246,ITM10245,WH_L67,170,0.76,0.48
247,ITM10246,WH_L58,45,0.92,0.446
248,ITM10247,WH_L16,134,0.87,0.508
249,ITM10248,WH_L32,150,0.87,0.499
250,ITM10249,WH_L29,71,0.93,0.646
251,ITM10250,WH_L9,160,0.96,0.711
252,ITM10251,WH_L44,22,0.77,0.505
253,ITM10252,WH_L3,97,0.87,0.609
254,ITM10253,WH_L76,49,0.95,0.67
255,ITM10254,WH_L71,167,0.96,0.54
256,ITM10255,WH_L30,133,0.79,0.5
257,ITM10256,WH_L76,34,0.73,0.807
258,ITM10257,WH_L29,163,0.77,0.609
259,ITM10258,WH_L1,33,0.98,0.427
260,ITM10259,WH_L10,106,0.84,0.672
261,ITM10260,WH_L91,48,0.83,0.592
262,ITM10261,WH_L81,118,0.7,0.449
263,ITM10262,WH_L8,70,0.72,0.745
264,ITM10263,WH_L30,178,0.9,0.539
265,ITM10264,WH_L9,29,0.88,0.772
266,ITM10265,WH_L5,25,0.87,0.541
267,ITM10266,WH_L43,158,0.73,0.552
268,ITM10267,WH_L10,24,0.81,0.624
269,ITM10268,WH_L66,176,0.94,0.663
270,ITM10269,WH_L31,51,0.75,0.726
271,ITM10270,WH_L36,13,0.96,0.704
272,ITM10271,WH_L86,161,0.74,0.58
273,ITM10272,WH_L63,140,0.75,0.624
274,ITM10273,WH_L28,123,0.84,0.578
275,ITM10274,WH_L70,138,0.98,0.54
276,ITM10275,WH_L17,150,0.8,0.608
277,ITM10276,WH_L93,63,0.9,0.621
278,ITM10277,WH_L74,91,0.88,0.55
279,ITM10278,WH_L74,49,0.74,0.535
280,ITM10279,WH_L61,136,0.77,0.539
281,ITM10280,WH_L32,148,0.98,0.505
282,ITM10281,WH_L61,51,0.76,0.682
283,ITM10282,WH_L53,102,0.91,0.681
284,ITM10283,WH_L25,13,0.99,0.518
285,ITM10284,WH_L13,34,0.74,0.667
286,ITM10285,WH_L13,109,0.82,0.659
287,ITM10286,WH_L85,173,0.77,0.407
288,ITM10287,WH_L56,134,0.77,0.567
289,ITM10288,WH_L46,49,0.74,0.321
290,ITM10289,WH_L55,101,0.89,0.627
291,ITM10290,WH_L53,145,0.92,0.667
292,ITM10291,WH_L60,94,0.9,0.478
293,ITM10292,WH_L94,44,0.98,0.783
294,ITM10293,WH_L7,155,0.74,0.459
295,ITM10294,WH_L87,56,0.8,0.619
296,ITM10295,WH_L84,162,0.8,0.629
297,ITM10296,WH_L83,178,0.77,0.601
298,ITM10297,WH_L13,14,0.74,0.484
299,ITM10298,WH_L8,134,0.85,0.689
300,ITM10299,WH_L52,120,0.95,0.707
301,ITM10300,WH_L94,81,0.99,0.602
302,ITM10301,WH_L44,96,0.74,0.695
303,ITM10302,WH_L14,12,0.95,0.676
304,ITM10303,WH_L32,174,0.95,0.624
305,ITM10304,WH_L25,102,0.82,0.733
306,ITM10305,WH_L25,50,0.73,0.602
307,ITM10306,WH_L69,157,1.0,0.56
308,ITM10307,WH_L58,96,0.9,0.472
309,ITM10308,WH_L18,177,0.99,0.623
310,ITM10309,WH_L55,94,0.85,0.695
311,ITM10310,WH_L24,145,0.82,0.602
312,ITM10311,WH_L36,142,0.77,0.576
313,ITM10312,WH_L60,34,1.0,0.623
314,ITM10313,WH_L32,48,0.78,0.804
315,ITM10314,WH_L10,174,0.71,0.636
316,ITM10315,WH_L57,134,0.85,0.505
317,ITM10316,WH_L71,114,0.81,0.49
318,ITM10317,WH_L13,14,0.78,0.586
319,ITM10318,WH_L7,145,0.89,0.475
320,ITM10319,WH_L84,13,0.81,0.776
321,ITM10320,WH_L70,178,0.82,0.466
322,ITM10321,WH_L2,69,0.71,0.508
323,ITM10322,WH_L12,63,0.88,0.601
324,ITM10323,WH_L97,159,0.74,0.759
325,ITM10324,WH_L31,87,0.76,0.554
326,ITM10325,WH_L22,28,0.92,0.828
327,ITM10326,WH_L53,108,0.79,0.733
328,ITM10327,WH_L63,77,0.75,0.64
329,ITM10328,WH_L62,42,0.87,0.633
330,ITM10329,WH_L28,159,0.76,0.583
331,ITM10330,WH_L52,148,0.78,0.561
332,ITM10331,WH_L8,25,0.89,0.521
333,ITM10332,WH_L22,136,0.92,0.646
334,ITM10333,WH_L49,102,0.92,0.81
335,ITM10334,WH_L1,53,0.84,0.659
336,ITM10335,WH_L50,18,0.84,0.457
337,ITM10336,WH_L34,87,0.94,0.359
338,ITM10337,WH_L59,88,0.76,0.487
339,ITM10338,WH_L37,95,0.75,0.533
340,ITM10339,WH_L55,24,0.9,0.719
341,ITM10340,WH_L90,15,0.82,0.538
342,ITM10341,WH_L94,10,0.91,0.774
343,ITM10342,WH_L72,29,0.78,0.448
344,ITM10343,WH_L85,173,0.8,0.75
345,ITM10344,WH_L92,139,0.97,0.515
346,ITM10345,WH_L63,79,0.83,0.574
347,ITM10346,WH_L20,11,0.88,0.695
348,ITM10347,WH_L25,140,0.73,0.537
349,ITM10348,WH_L38,16,0.75,0.689
350,ITM10349,WH_L28,93,0.71,0.71
351,ITM10350,WH_L8,178,0.83,0.628
352,ITM10351,WH_L75,63,1.0,0.499
353,ITM10352,WH_L95,50,0.96,0.634
354,ITM10353,WH_L70,124,0.89,0.726
355,ITM10354,WH_L8,142,0.96,0.648
356,ITM10355,WH_L96,111,0.88,0.791
357,ITM10356,WH_L41,91,0.81,0.495
358,ITM10357,WH_L8,72,0.75,0.709
359,ITM10358,WH_L7,10,0.9,0.7
360,ITM10359,WH_L75,34,0.76,0.65
361,ITM10360,WH_L62,152,0.83,0.607
362,ITM10361,WH_L65,154,0.95,0.614
363,ITM10362,WH_L68,158,0.74,0.468
364,ITM10363,WH_L21,64,0.74,0.671
365,ITM10364,WH_L8,116,0.77,0.756
366,ITM10365,WH_L66,147,0.87,0.455
367,ITM10366,WH_L11,74,0.78,0.8
368,ITM10367,WH_L24,46,0.85,0.671
369,ITM10368,WH_L9,121,0.79,0.386
370,ITM10369,WH_L77,16,0.85,0.69
371,ITM10370,WH_L9,85,0.78,0.463
372,ITM10371,WH_L87,49,0.99,0.656
373,ITM10372,WH_L31,10,0.85,0.45
374,ITM10373,WH_L52,157,0.92,0.349
375,ITM10374,WH_L16,117,0.91,0.643
376,ITM10375,WH_L73,168,0.85,0.685
377,ITM10376,WH_L32,77,0.77,0.682
378,ITM10377,WH_L75,21,0.85,0.685
379,ITM10378,WH_L77,159,0.9,0.719
380,ITM10379,WH_L6,138,0.84,0.677
381,ITM10380,WH_L80,135,0.72,0.52
382,ITM10381,WH_L11,10,0.71,0.43
383,ITM10382,WH_L54,140,0.8,0.619
384,ITM10383,WH_L85,126,0.75,0.422
385,ITM10384,WH_L75,158,0.97,0.534
386,ITM10385,WH_L73,22,0.75,0.442
387,ITM10386,WH_L67,150,0.82,0.621
388,ITM10387,WH_L41,114,0.91,0.61
389,ITM10388,WH_L34,170,0.94,0.598
390,ITM10389,WH_L27,143,0.84,0.77
391,ITM10390,WH_L86,34,0.75,0.567
392,ITM10391,WH_L92,160,0.78,0.467
393,ITM10392,WH_L41,97,0.83,0.793
394,ITM10393,WH_L31,110,0.81,0.812
395,ITM10394,WH_L34,35,0.8,0.399
396,ITM10395,WH_L51,141,0.74,0.632
397,ITM10396,WH_L17,111,0.97,0.652
398,ITM10397,WH_L86,172,0.71,0.564
399,ITM10398,WH_L83,109,0.83,0.631
400,ITM10399,WH_L39,34,0.99,0.537
401,ITM10400,WH_L59,157,0.9,0.766
402,ITM10401,WH_L41,10,0.81,0.488
403,ITM10402,WH_L97,103,0.74,0.594
404,ITM10403,WH_L10,77,0.99,0.51
405,ITM10404,WH_L2,32,0.7,0.537
406,ITM10405,WH_L59,115,0.9,0.522
407,ITM10406,WH_L80,159,0.96,0.616
408,ITM10407,WH_L73,104,0.71,0.627
409,ITM10408,WH_L13,71,0.92,0.431
410,ITM10409,WH_L10,138,1.0,0.582
411,ITM10410,WH_L69,77,0.89,0.669
412,ITM10411,WH_L28,156,0.82,0.608
413,ITM10412,WH_L65,39,0.96,0.7
414,ITM10413,WH_L34,138,0.87,0.683
415,ITM10414,WH_L17,57,0.92,0.74
416,ITM10415,WH_L45,28,0.88,0.489
417,ITM10416,WH_L9,136,0.71,0.441
418,ITM10417,WH_L32,159,0.76,0.64
419,ITM10418,WH_L48,59,0.72,0.539
420,ITM10419,WH_L37,143,0.73,0.646
421,ITM10420,WH_L21,158,0.7,0.58
422,ITM10421,WH_L57,156,0.83,0.593
423,ITM10422,WH_L70,174,0.75,0.57
424,ITM10423,WH_L91,72,0.96,0.565
425,ITM10424,WH_L39,166,0.93,0.641
426,ITM10425,WH_L79,171,0.87,0.578
427,ITM10426,WH_L84,138,0.85,0.546
428,ITM10427,WH_L68,57,0.78,0.644
429,ITM10428,WH_L2,98,0.84,0.679
430,ITM10429,WH_L86,136,0.89,0.534
431,ITM10430,WH_L71,158,0.93,0.495
432,ITM10431,WH_L39,171,0.72,0.602
433,ITM10432,WH_L85,163,0.91,0.59
434,ITM10433,WH_L14,45,0.92,0.64
435,ITM10434,WH_L18,160,0.87,0.517
436,ITM10435,WH_L34,90,0.76,0.686
437,ITM10436,WH_L15,56,0.86,0.409
438,ITM10437,WH_L14,157,0.85,0.396
439,ITM10438,WH_L96,36,0.84,0.823
440,ITM10439,WH_L71,174,0.84,0.536
441,ITM10440,WH_L20,61,0.73,0.727
442,ITM10441,WH_L35,84,0.75,0.575
443,ITM10442,WH_L37,101,0.73,0.706
444,ITM10443,WH_L78,71,0.77,0.672
445,ITM10444,WH_L27,75,0.78,0.756
446,ITM10445,WH_L92,161,0.77,0.714
447,ITM10446,WH_L44,89,0.76,0.608
448,ITM10447,WH_L27,149,0.92,0.712
449,ITM10448,WH_L88,153,0.95,0.725
450,ITM10449,WH_L82,173,0.8,0.77
451,ITM10450,WH_L34,139,0.79,0.6
452,ITM10451,WH_L65,73,0.95,0.699
453,ITM10452,WH_L63,38,0.89,0.532
454,ITM10453,WH_L33,96,0.79,0.53
455,ITM10454,WH_L7,105,0.91,0.659
456,ITM10455,WH_L12,40,0.8,0.609
457,ITM10456,WH_L82,92,0.88,0.598
458,ITM10457,WH_L55,152,1.0,0.812
459,ITM10458,WH_L36,42,0.79,0.516
460,ITM10459,WH_L6,109,0.98,0.636
461,ITM10460,WH_L1,157,0.8,0.547
462,ITM10461,WH_L43,82,0.86,0.489
463,ITM10462,WH_L99,175,0.84,0.474
464,ITM10463,WH_L17,140,0.93,0.542
465,ITM10464,WH_L82,27,0.72,0.512
466,ITM10465,WH_L34,135,0.89,0.47
467,ITM10466,WH_L21,16,0.93,0.596
468,ITM10467,WH_L95,172,0.84,0.568
469,ITM10468,WH_L57,133,0.73,0.515
470,ITM10469,WH_L71,123,0.77,0.761
471,ITM10470,WH_L91,93,0.9,0.528
472,ITM10471,WH_L55,93,0.97,0.578
473,ITM10472,WH_L72,92,0.83,0.557
474,ITM10473,WH_L2,114,0.87,0.536
475,ITM10474,WH_L15,111,0.77,0.602
476,ITM10475,WH_L10,102,0.82,0.587
477,ITM10476,WH_L89,69,0.8,0.5
478,ITM10477,WH_L20,111,0.9,0.739
479,ITM10478,WH_L70,33,1.0,0.573
480,ITM10479,WH_L5,118,0.94,0.724
481,ITM10480,WH_L48,176,0.76,0.601
482,ITM10481,WH_L75,149,0.87,0.548
483,ITM10482,WH_L71,103,0.72,0.549
484,ITM10483,WH_L19,73,0.77,0.618
485,ITM10484,WH_L56,13,0.75,0.506
486,ITM10485,WH_L17,103,0.8,0.627
487,ITM10486,WH_L6,142,0.9,0.516
488,ITM10487,WH_L40,25,0.85,0.694
489,ITM10488,WH_L47,36,0.98,0.537
490,ITM10489,WH_L6,141,0.76,0.745
491,ITM10490,WH_L46,81,0.81,0.579
492,ITM10491,WH_L27,57,0.8,0.48
493,ITM10492,WH_L88,145,0.77,0.717
494,ITM10493,WH_L32,90,1.0,0.685
495,ITM10494,WH_L86,53,0.82,0.576
496,ITM10495,WH_L14,61,0.98,0.822
497,ITM10496,WH_L46,43,0.82,0.769
498,ITM10497,WH_L100,30,0.76,0.618
499,ITM10498,WH_L72,33,0.74,0.714
500,ITM10499,WH_L53,53,0.96,0.515
501,ITM10500,WH_L80,123,0.71,0.442
502,ITM10501,WH_L96,178,0.99,0.7
503,ITM10502,WH_L20,166,0.83,0.731
504,ITM10503,WH_L31,112,0.77,0.539
505,ITM10504,WH_L21,143,0.89,0.633
506,ITM10505,WH_L23,65,0.74,0.478
507,ITM10506,WH_L53,23,0.72,0.603
508,ITM10507,WH_L4,110,0.95,0.758
509,ITM10508,WH_L23,10,0.83,0.404
510,ITM10509,WH_L95,21,0.86,0.605
511,ITM10510,WH_L43,124,0.75,0.526
512,ITM10511,WH_L53,115,0.72,0.557
513,ITM10512,WH_L86,161,0.81,0.748
514,ITM10513,WH_L95,46,0.85,0.708
515,ITM10514,WH_L32,12,0.93,0.585
516,ITM10515,WH_L35,164,0.85,0.678
517,ITM10516,WH_L21,62,0.93,0.658
518,ITM10517,WH_L90,109,0.73,0.265
519,ITM10518,WH_L14,26,0.72,0.643
520,ITM10519,WH_L49,122,0.75,0.487
521,ITM10520,WH_L5,119,0.93,0.706
522,ITM10521,WH_L61,152,0.93,0.559
523,ITM10522,WH_L29,176,0.74,0.663
524,ITM10523,WH_L26,13,0.71,0.541
525,ITM10524,WH_L59,154,0.91,0.567
526,ITM10525,WH_L45,148,0.96,0.488
527,ITM10526,WH_L40,21,0.93,0.47
528,ITM10527,WH_L30,41,0.76,0.46
529,ITM10528,WH_L29,164,0.88,0.706
530,ITM10529,WH_L4,52,0.93,0.599
531,ITM10530,WH_L85,113,0.78,0.391
532,ITM10531,WH_L25,102,0.86,0.752
533,ITM10532,WH_L52,52,0.79,0.649
534,ITM10533,WH_L43,140,0.77,0.776
535,ITM10534,WH_L36,166,0.99,0.581
536,ITM10535,WH_L9,94,0.97,0.845
537,ITM10536,WH_L99,44,0.83,0.788
538,ITM10537,WH_L36,126,0.74,0.324
539,ITM10538,WH_L45,176,0.92,0.687
540,ITM10539,WH_L83,161,0.78,0.707
541,ITM10540,WH_L66,29,0.75,0.492
542,ITM10541,WH_L52,152,0.81,0.416
543,ITM10542,WH_L87,94,0.86,0.78
544,ITM10543,WH_L69,126,0.73,0.487
545,ITM10544,WH_L43,115,0.87,0.485
546,ITM10545,WH_L4,155,0.7,0.49
547,ITM10546,WH_L15,114,0.97,0.603
548,ITM10547,WH_L34,102,0.98,0.694
549,ITM10548,WH_L23,50,0.92,0.773
550,ITM10549,WH_L75,109,0.84,0.661
551,ITM10550,WH_L34,78,0.78,0.643
552,ITM10551,WH_L5,115,0.92,0.654
553,ITM10552,WH_L14,148,0.98,0.783
554,ITM10553,WH_L77,155,0.75,0.667
555,ITM10554,WH_L56,149,0.84,0.602
556,ITM10555,WH_L45,153,0.79,0.767
557,ITM10556,WH_L94,36,0.81,0.412
558,ITM10557,WH_L41,109,0.82,0.605
559,ITM10558,WH_L56,154,0.99,0.924
560,ITM10559,WH_L78,94,0.78,0.616
561,ITM10560,WH_L66,128,0.85,0.477
562,ITM10561,WH_L15,40,0.99,0.793
563,ITM10562,WH_L50,118,0.84,0.565
564,ITM10563,WH_L74,172,0.96,0.581
565,ITM10564,WH_L25,36,0.72,0.792
566,ITM10565,WH_L33,96,0.99,0.587
567,ITM10566,WH_L6,169,0.76,0.668
568,ITM10567,WH_L91,26,0.99,0.719
569,ITM10568,WH_L56,20,0.75,0.589
570,ITM10569,WH_L1,138,0.83,0.601
571,ITM10570,WH_L67,91,0.79,0.595
572,ITM10571,WH_L69,58,0.83,0.578
573,ITM10572,WH_L88,50,0.78,0.669
574,ITM10573,WH_L93,29,0.99,0.669
575,ITM10574,WH_L95,80,0.79,0.742
576,ITM10575,WH_L95,46,0.9,0.534
577,ITM10576,WH_L86,135,0.74,0.588
578,ITM10577,WH_L26,153,0.95,0.832
579,ITM10578,WH_L47,48,0.86,0.79
