demand_id,item_id,daily_demand,demand_std_dev,forecasted_demand_next_7d,total_orders_last_month
120,ITM10119,15.05,2.39,55.51,309
121,ITM10120,48.49,7.56,136.98,773
122,ITM10121,30.83,8.91,291.31,310
123,ITM10122,20.57,6.01,71.8,863
124,ITM10123,32.61,2.85,244.0,892
125,ITM10124,20.37,3.44,80.48,691
126,ITM10125,41.07,8.91,31.83,666
127,ITM10126,28.82,3.33,22.4,615
128,ITM10127,3.06,7.59,285.13,669
129,ITM10128,9.66,9.91,71.74,521
130,ITM10129,43.38,10.0,94.67,876
131,ITM10130,28.58,5.57,290.4,850
132,ITM10131,47.57,8.35,200.64,304
133,ITM10132,4.55,9.91,151.56,327
134,ITM10133,15.47,4.06,136.27,608
135,ITM10134,10.48,2.9,24.08,695
136,ITM10135,28.14,1.59,253.29,73
137,ITM10136,19.76,1.84,230.99,482
138,ITM10137,8.71,8.61,36.3,678
139,ITM10138,32.49,6.09,112.5,800
140,ITM10139,27.28,8.8,266.77,527
141,ITM10140,14.46,8.0,78.57,543
142,ITM10141,24.51,6.9,187.26,431
143,ITM10142,37.54,6.29,151.5,868
144,ITM10143,11.06,0.96,247.37,423
145,ITM10144,15.35,8.79,20.46,602
146,ITM10145,17.96,4.47,246.68,811
147,ITM10146,37.59,5.82,49.36,372
148,ITM10147,42.5,0.71,14.37,138
149,ITM10148,19.44,9.39,182.7,141
150,ITM10149,15.53,9.08,85.01,426
151,ITM10150,44.58,5.66,215.69,130
152,ITM10151,49.97,5.98,146.24,691
153,ITM10152,33.85,7.2,185.6,652
154,ITM10153,49.51,3.01,210.01,149
155,ITM10154,33.34,2.61,278.81,639
156,ITM10155,36.94,6.9,248.7,604
157,ITM10156,20.04,1.49,153.58,172
158,ITM10157,22.22,4.81,137.02,849
159,ITM10158,8.06,5.18,199.86,445
160,ITM10159,41.31,4.12,222.72,72
161,ITM10160,46.62,2.26,60.07,705
162,ITM10161,31.55,3.88,19.43,989
163,ITM10162,17.84,3.71,141.85,819
164,ITM10163,8.55,5.24,38.84,568
165,ITM10164,13.99,6.91,89.09,326
166,ITM10165,13.52,9.7,179.57,747
167,ITM10166,31.06,1.87,53.92,144
168,ITM10167,47.31,8.79,18.26,968
169,ITM10168,3.37,3.2,170.83,431
170,ITM10169,1.05,6.12,145.21,426
171,ITM10170,30.41,5.69,98.83,74
172,ITM10171,14.92,5.79,145.95,340
173,ITM10172,44.15,7.37,208.22,276
174,ITM10173,17.04,4.13,41.61,222
175,ITM10174,15.2,3.53,84.15,696
176,ITM10175,14.21,8.6,240.54,502
177,ITM10176,8.1,2.59,204.34,337
178,ITM10177,29.49,2.21,87.21,870
179,ITM10178,9.24,0.65,125.46,118
180,ITM10179,21.81,2.5,44.73,330
181,ITM10180,23.59,5.43,83.41,912
182,ITM10181,2.0,5.62,253.93,391
183,ITM10182,1.82,2.92,137.72,919
184,ITM10183,26.49,1.19,195.68,382
185,ITM10184,35.11,7.57,56.33,792
186,ITM10185,47.16,7.7,63.16,435
187,ITM10186,9.78,9.98,282.87,391
188,ITM10187,6.06,9.05,254.02,366
189,ITM10188,3.55,9.3,239.2,954
190,ITM10189,22.37,8.08,105.58,356
191,ITM10190,31.53,6.35,173.2,819
192,ITM10191,42.19,1.72,152.78,222
193,ITM10192,34.45,6.41,287.31,593
194,ITM10193,11.21,1.03,79.49,249
195,ITM10194,23.63,8.91,284.7,641
196,ITM10195,45.61,5.08,214.99,914
197,ITM10196,17.01,7.13,129.97,124
198,ITM10197,25.44,1.0,87.24,977
199,ITM10198,47.97,5.58,229.63,825
200,ITM10199,37.0,3.36,248.65,646
201,ITM10200,37.64,3.21,113.68,266
202,ITM10201,13.36,4.2,59.85,682
203,ITM10202,21.32,0.51,152.75,581
204,ITM10203,5.03,4.93,145.87,498
205,ITM10204,30.72,5.12,220.37,710
206,ITM10205,6.08,8.7,292.22,56
207,ITM10206,41.96,4.76,164.07,938
208,ITM10207,40.91,3.95,222.2,939
209,ITM10208,27.15,9.95,111.67,442
210,ITM10209,7.92,5.93,183.88,647
211,ITM10210,2.25,4.99,43.45,435
212,ITM10211,40.04,5.21,246.33,550
213,ITM10212,30.41,8.19,109.85,196
214,ITM10213,35.84,3.74,33.21,365
215,ITM10214,15.89,4.2,297.26,503
216,ITM10215,25.96,7.68,271.52,236
217,ITM10216,37.61,1.19,67.26,374
218,ITM10217,23.67,8.72,115.33,862
219,ITM10218,30.47,4.59,281.65,367
220,ITM10219,39.7,6.02,240.94,443
221,ITM10220,11.55,7.7,272.86,428
222,ITM10221,4.23,3.03,173.14,754
223,ITM10222,27.06,8.96,80.5,843
224,ITM10223,4.04,9.8,75.85,523
225,ITM10224,38.56,5.2,162.44,749
226,ITM10225,36.24,9.4,277.96,67
227,ITM10226,44.2,0.51,193.16,876
228,ITM10227,32.34,9.0,19.97,198
229,ITM10228,4.29,3.45,172.54,607
230,ITM10229,13.4,3.46,186.45,61
231,ITM10230,40.59,2.67,178.65,791
232,ITM10231,9.19,3.51,210.41,511
233,ITM10232,35.23,2.53,95.12,674
234,ITM10233,39.23,9.11,51.69,209
235,ITM10234,17.18,9.04,227.51,984
236,ITM10235,16.79,1.47,66.94,788
237,ITM10236,28.33,1.86,43.11,744
238,ITM10237,43.2,8.69,114.22,616
239,ITM10238,11.97,4.29,251.5,315
240,ITM10239,47.12,2.11,33.81,596
241,ITM10240,30.36,5.35,66.71,129
242,ITM10241,49.61,4.46,147.83,567
243,ITM10242,5.39,2.58,93.42,688
244,ITM10243,7.2,7.35,219.28,117
245,ITM10244,41.51,6.5,205.72,751
246,ITM10245,43.37,1.45,254.33,293
247,ITM10246,22.83,9.29,69.11,58
248,ITM10247,35.99,5.81,198.19,206
249,ITM10248,43.51,2.88,234.67,632
250,ITM10249,3.11,2.46,28.17,513
251,ITM10250,29.12,1.79,20.68,695
252,ITM10251,42.82,4.53,172.18,349
253,ITM10252,20.51,1.79,180.48,369
254,ITM10253,15.82,4.45,123.91,298
255,ITM10254,39.99,1.91,20.46,372
256,ITM10255,17.45,6.74,126.56,605
257,ITM10256,1.16,7.96,196.21,677
258,ITM10257,48.02,5.72,213.55,511
259,ITM10258,30.01,6.96,152.91,447
260,ITM10259,41.16,9.41,162.26,442
261,ITM10260,41.44,6.56,205.08,277
262,ITM10261,4.25,3.96,140.3,968
263,ITM10262,9.37,4.77,86.42,618
264,ITM10263,16.24,8.67,74.66,293
265,ITM10264,16.71,1.74,228.3,106
266,ITM10265,33.28,3.59,151.39,192
267,ITM10266,31.53,5.98,190.98,241
268,ITM10267,25.23,6.93,146.62,568
269,ITM10268,11.35,7.75,247.46,453
270,ITM10269,19.72,3.52,154.09,324
271,ITM10270,27.64,1.89,296.54,695
272,ITM10271,23.93,9.57,80.36,996
273,ITM10272,7.24,1.23,50.17,88
274,ITM10273,32.83,1.41,118.34,242
275,ITM10274,4.58,5.2,276.41,376
276,ITM10275,19.53,8.28,257.17,532
277,ITM10276,35.79,7.86,81.73,74
278,ITM10277,1.98,9.41,183.91,151
279,ITM10278,28.93,1.85,180.79,712
280,ITM10279,17.39,4.07,95.09,266
281,ITM10280,1.43,3.18,78.26,791
282,ITM10281,10.33,8.68,123.11,316
283,ITM10282,47.11,5.14,238.7,211
284,ITM10283,26.54,0.76,65.6,336
285,ITM10284,49.86,7.23,139.26,727
286,ITM10285,26.72,4.19,149.69,935
287,ITM10286,27.65,5.55,282.35,931
288,ITM10287,20.2,8.99,98.02,296
289,ITM10288,16.19,2.94,15.7,223
290,ITM10289,13.33,2.78,211.18,445
291,ITM10290,17.83,3.0,229.18,58
292,ITM10291,23.53,3.71,213.88,958
293,ITM10292,10.41,1.52,213.21,497
294,ITM10293,12.02,7.12,150.14,837
295,ITM10294,14.31,2.47,15.41,620
296,ITM10295,23.01,9.3,221.68,646
297,ITM10296,32.99,2.55,281.59,711
298,ITM10297,42.95,2.93,55.64,370
299,ITM10298,15.07,3.32,29.7,621
300,ITM10299,10.0,7.8,86.91,174
301,ITM10300,19.56,4.56,256.44,90
302,ITM10301,44.82,8.28,40.78,386
303,ITM10302,1.48,7.96,217.4,734
304,ITM10303,34.22,9.33,28.25,821
305,ITM10304,24.38,7.69,19.51,375
306,ITM10305,8.89,0.99,268.48,734
307,ITM10306,16.73,8.45,233.46,235
308,ITM10307,12.02,9.41,183.59,290
309,ITM10308,44.01,9.94,59.88,388
310,ITM10309,24.61,1.69,90.87,143
311,ITM10310,28.59,6.33,24.1,968
312,ITM10311,30.09,2.39,197.16,465
313,ITM10312,32.34,2.99,208.96,112
314,ITM10313,25.28,7.58,104.77,782
315,ITM10314,1.88,9.79,108.14,569
316,ITM10315,17.4,6.15,192.4,774
317,ITM10316,10.01,8.58,284.24,258
318,ITM10317,34.33,0.58,124.47,258
319,ITM10318,3.78,0.85,153.14,425
320,ITM10319,28.63,6.17,212.5,134
321,ITM10320,11.32,4.2,109.27,256
322,ITM10321,47.49,8.95,261.97,396
323,ITM10322,17.44,3.37,255.39,714
324,ITM10323,16.94,4.6,205.54,210
325,ITM10324,46.25,5.52,165.71,499
326,ITM10325,21.45,3.09,295.22,165
327,ITM10326,48.18,9.13,213.69,411
328,ITM10327,2.18,4.91,196.54,300
329,ITM10328,16.01,4.53,264.28,961
330,ITM10329,33.64,8.57,170.95,232
331,ITM10330,44.65,3.46,80.45,725
332,ITM10331,13.56,8.27,49.95,377
333,ITM10332,46.59,1.66,146.6,641
334,ITM10333,30.11,2.24,159.54,56
335,ITM10334,40.25,9.53,250.03,886
336,ITM10335,20.46,8.5,50.45,648
337,ITM10336,11.4,4.19,207.56,569
338,ITM10337,45.65,6.57,98.2,436
339,ITM10338,46.72,9.46,282.32,980
340,ITM10339,25.38,2.51,146.42,419
341,ITM10340,1.32,1.06,190.5,597
342,ITM10341,6.38,5.61,198.53,812
343,ITM10342,29.08,1.85,36.39,661
344,ITM10343,2.17,2.28,257.14,128
345,ITM10344,20.45,8.97,57.63,847
346,ITM10345,15.87,0.57,125.25,832
347,ITM10346,36.0,8.26,205.04,270
348,ITM10347,3.72,5.41,26.01,757
349,ITM10348,24.95,5.81,178.32,787
350,ITM10349,29.38,6.88,128.88,648
351,ITM10350,31.25,4.6,28.52,619
352,ITM10351,20.85,1.6,220.65,461
353,ITM10352,15.91,1.48,155.39,528
354,ITM10353,34.44,7.67,98.0,731
355,ITM10354,42.53,2.6,34.46,146
356,ITM10355,34.99,0.77,168.77,707
357,ITM10356,46.67,9.81,98.73,950
358,ITM10357,36.15,9.81,284.54,442
359,ITM10358,38.47,4.09,181.54,517
360,ITM10359,9.23,0.74,92.67,919
361,ITM10360,21.56,7.41,163.3,420
362,ITM10361,24.77,8.39,166.45,442
363,ITM10362,13.56,1.69,220.76,67
364,ITM10363,26.9,1.79,271.64,233
365,ITM10364,15.25,8.31,289.15,192
366,ITM10365,34.69,9.26,218.19,512
367,ITM10366,24.04,8.01,168.31,556
368,ITM10367,23.48,2.41,75.23,383
369,ITM10368,49.2,4.41,126.88,111
370,ITM10369,20.23,6.21,151.75,212
371,ITM10370,18.75,2.02,47.23,601
372,ITM10371,16.61,2.5,84.36,228
373,ITM10372,44.84,3.19,295.49,284
374,ITM10373,25.34,5.34,229.44,941
375,ITM10374,30.4,5.35,149.78,109
376,ITM10375,9.86,8.24,75.55,277
377,ITM10376,27.51,7.65,176.3,288
378,ITM10377,14.46,9.18,77.24,617
379,ITM10378,36.8,8.41,66.0,795
380,ITM10379,41.79,2.91,37.19,133
381,ITM10380,36.03,3.65,110.3,764
382,ITM10381,36.78,5.25,167.1,90
383,ITM10382,26.11,0.64,56.21,487
384,ITM10383,35.89,9.09,68.13,578
385,ITM10384,21.71,0.92,123.43,154
386,ITM10385,32.92,3.56,151.96,586
387,ITM10386,13.69,5.91,231.06,431
388,ITM10387,4.42,5.42,174.32,142
389,ITM10388,21.26,6.72,189.13,264
390,ITM10389,23.63,5.51,211.9,954
391,ITM10390,13.56,2.68,140.79,745
392,ITM10391,36.66,2.41,109.51,266
393,ITM10392,4.6,9.12,242.12,538
394,ITM10393,11.91,3.01,250.21,200
395,ITM10394,37.68,3.17,54.65,423
396,ITM10395,22.42,4.42,286.48,819
397,ITM10396,35.56,1.82,279.68,862
398,ITM10397,28.81,5.32,262.55,680
399,ITM10398,47.58,6.82,132.57,498
400,ITM10399,30.29,7.97,254.23,471
401,ITM10400,1.73,7.26,192.14,695
402,ITM10401,18.29,1.9,69.56,993
403,ITM10402,8.01,4.83,234.72,989
404,ITM10403,46.31,0.87,127.77,256
405,ITM10404,6.1,0.67,94.73,824
406,ITM10405,20.0,4.68,264.7,883
407,ITM10406,12.08,2.9,260.06,751
408,ITM10407,42.49,6.99,260.67,719
409,ITM10408,16.12,7.38,259.26,526
410,ITM10409,49.6,9.01,170.73,637
411,ITM10410,2.89,7.73,188.91,613
412,ITM10411,7.29,0.96,285.17,275
413,ITM10412,12.01,4.03,47.51,655
414,ITM10413,40.74,3.09,243.82,853
415,ITM10414,44.05,4.17,162.62,852
416,ITM10415,4.5,2.02,293.74,883
417,ITM10416,2.59,1.43,195.37,739
418,ITM10417,37.48,5.45,57.14,436
419,ITM10418,7.53,7.34,246.49,155
420,ITM10419,7.52,7.17,205.07,125
421,ITM10420,2.1,4.78,53.19,565
422,ITM10421,3.44,5.46,12.61,872
423,ITM10422,13.92,5.41,167.66,997
424,ITM10423,4.19,7.07,80.03,236
425,ITM10424,19.08,0.96,261.5,581
426,ITM10425,41.81,7.24,82.77,324
427,ITM10426,16.99,6.03,202.23,697
428,ITM10427,36.66,2.38,110.09,588
429,ITM10428,5.6,0.97,111.59,697
430,ITM10429,33.31,1.53,62.73,67
431,ITM10430,16.52,5.48,155.79,334
432,ITM10431,37.74,7.7,177.99,351
433,ITM10432,7.68,3.68,178.49,548
434,ITM10433,45.0,4.1,258.42,981
435,ITM10434,12.89,9.37,199.18,948
436,ITM10435,18.3,2.52,224.67,954
437,ITM10436,47.56,1.49,103.8,699
438,ITM10437,29.35,3.76,132.0,793
439,ITM10438,18.92,7.59,15.3,901
440,ITM10439,47.53,6.45,32.94,306
441,ITM10440,17.12,4.45,121.68,268
442,ITM10441,5.65,9.67,70.82,693
443,ITM10442,49.85,7.48,245.76,993
444,ITM10443,14.12,1.09,206.18,406
445,ITM10444,42.71,7.57,291.39,305
446,ITM10445,9.11,0.73,267.24,657
447,ITM10446,36.84,6.68,293.52,323
448,ITM10447,26.7,2.5,115.93,383
449,ITM10448,49.06,7.12,150.47,862
450,ITM10449,28.09,3.44,118.06,417
451,ITM10450,2.23,8.79,289.65,64
452,ITM10451,30.59,3.7,126.79,228
453,ITM10452,8.12,6.39,43.86,494
454,ITM10453,40.13,3.22,82.65,821
455,ITM10454,42.97,9.21,133.2,452
456,ITM10455,24.62,7.92,184.87,137
457,ITM10456,39.38,2.81,189.25,143
458,ITM10457,8.11,9.51,230.05,894
459,ITM10458,25.11,3.89,197.88,444
460,ITM10459,20.3,6.69,152.54,77
461,ITM10460,30.95,7.56,18.75,746
462,ITM10461,3.18,0.72,211.56,124
463,ITM10462,37.85,9.61,34.78,103
464,ITM10463,4.88,3.77,145.96,370
465,ITM10464,33.17,2.3,269.95,608
466,ITM10465,1.9,8.58,183.09,809
467,ITM10466,41.76,7.18,67.7,283
468,ITM10467,9.56,1.32,244.31,679
469,ITM10468,26.26,1.61,97.12,821
470,ITM10469,13.81,7.29,177.41,279
471,ITM10470,36.41,1.21,194.4,851
472,ITM10471,16.75,9.21,222.03,802
473,ITM10472,36.51,7.54,28.84,381
474,ITM10473,14.96,3.69,257.74,743
475,ITM10474,37.87,3.95,43.02,521
476,ITM10475,2.5,5.31,37.41,366
477,ITM10476,14.88,3.93,142.5,150
478,ITM10477,25.43,7.94,117.93,297
479,ITM10478,3.21,9.76,25.84,529
480,ITM10479,10.12,6.05,58.14,910
481,ITM10480,46.79,4.74,137.37,919
482,ITM10481,48.86,2.62,250.43,674
483,ITM10482,37.25,6.71,45.18,270
484,ITM10483,13.36,7.01,40.31,388
485,ITM10484,13.77,7.01,243.4,197
486,ITM10485,32.64,0.76,152.77,948
487,ITM10486,6.76,9.04,114.47,345
488,ITM10487,47.47,3.71,143.79,758
489,ITM10488,12.02,7.57,129.15,456
490,ITM10489,49.98,7.72,236.75,630
491,ITM10490,25.29,6.68,12.7,527
492,ITM10491,38.8,4.25,135.62,849
493,ITM10492,1.11,6.28,56.07,73
494,ITM10493,44.55,0.88,99.4,930
495,ITM10494,14.23,7.74,42.53,996
496,ITM10495,33.73,1.45,133.83,932
497,ITM10496,40.51,4.27,196.56,235
498,ITM10497,9.04,1.48,201.86,219
499,ITM10498,22.68,8.45,241.06,852
500,ITM10499,25.2,5.73,246.35,593
501,ITM10500,16.29,7.06,183.34,487
502,ITM10501,24.61,6.98,112.41,350
503,ITM10502,16.56,8.5,24.88,737
504,ITM10503,18.68,1.76,20.4,413
505,ITM10504,33.8,6.77,42.85,903
506,ITM10505,32.0,5.96,295.31,226
507,ITM10506,12.38,0.79,237.93,851
508,ITM10507,44.98,2.41,127.41,193
509,ITM10508,43.28,3.04,145.2,572
510,ITM10509,25.95,1.19,223.84,530
511,ITM10510,22.23,3.87,159.18,541
512,ITM10511,19.47,0.76,114.52,535
513,ITM10512,35.66,5.76,111.37,708
514,ITM10513,33.91,2.51,70.8,909
515,ITM10514,10.61,3.23,266.83,974
516,ITM10515,33.9,9.15,130.1,534
517,ITM10516,13.37,5.28,228.19,871
518,ITM10517,1.91,3.06,176.39,486
519,ITM10518,35.26,6.19,228.69,244
520,ITM10519,32.59,2.42,103.06,515
521,ITM10520,21.13,1.21,228.08,125
522,ITM10521,26.76,0.7,239.09,209
523,ITM10522,47.41,9.54,40.24,539
524,ITM10523,30.16,7.38,36.52,149
525,ITM10524,33.24,8.1,295.79,165
526,ITM10525,4.13,9.82,44.21,429
527,ITM10526,9.13,9.35,208.6,644
528,ITM10527,15.75,7.5,226.87,873
529,ITM10528,27.43,7.09,28.42,112
530,ITM10529,39.05,3.7,226.49,181
531,ITM10530,16.74,1.49,131.66,297
532,ITM10531,18.46,5.95,89.66,444
533,ITM10532,13.55,5.97,202.95,692
534,ITM10533,13.48,9.55,251.61,460
535,ITM10534,47.49,4.7,176.11,928
536,ITM10535,32.14,7.06,262.48,477
537,ITM10536,8.64,5.96,16.48,963
538,ITM10537,36.39,2.18,224.2,719
539,ITM10538,36.38,6.12,59.13,777
540,ITM10539,33.66,5.63,92.96,375
541,ITM10540,7.6,5.19,175.95,992
542,ITM10541,20.99,5.38,89.59,595
543,ITM10542,6.23,2.06,58.76,424
544,ITM10543,41.01,4.9,266.79,893
545,ITM10544,33.1,6.25,272.95,347
546,ITM10545,25.85,5.15,20.55,328
547,ITM10546,17.81,5.14,155.04,345
548,ITM10547,10.03,1.24,69.07,576
549,ITM10548,6.22,2.31,260.39,164
550,ITM10549,48.49,3.55,144.13,542
551,ITM10550,10.78,4.48,148.75,106
552,ITM10551,3.93,6.14,191.97,928
553,ITM10552,48.12,8.7,26.13,191
554,ITM10553,27.9,2.01,46.92,768
555,ITM10554,40.04,0.64,154.53,701
556,ITM10555,3.14,4.77,290.35,668
557,ITM10556,28.78,4.6,254.65,934
558,ITM10557,20.51,5.74,267.91,852
559,ITM10558,38.83,8.42,49.77,458
560,ITM10559,2.88,8.12,288.0,127
561,ITM10560,20.68,1.45,221.7,51
562,ITM10561,40.15,9.37,104.45,835
563,ITM10562,26.61,1.55,260.7,84
564,ITM10563,27.95,6.53,226.72,826
565,ITM10564,5.76,6.89,223.59,444
566,ITM10565,7.48,6.96,223.04,267
567,ITM10566,34.17,3.02,242.25,116
568,ITM10567,34.08,3.64,285.07,118
569,ITM10568,48.98,5.71,49.69,273
570,ITM10569,35.89,2.4,299.86,410
571,ITM10570,25.17,0.69,262.98,507
572,ITM10571,43.01,5.84,138.07,343
573,ITM10572,6.12,4.92,55.66,375
574,ITM10573,23.02,6.74,141.6,252
575,ITM10574,15.07,1.89,235.8,642
576,ITM10575,6.13,8.49,184.71,627
577,ITM10576,38.41,1.89,91.07,346
578,ITM10577,26.03,8.97,127.97,841
579,ITM10578,28.28,4.77,286.75,995
580,ITM10579,21.15,5.72,243.11,310
581,ITM10580,23.56,9.02,45.98,838
582,ITM10581,6.68,3.35,168.16,567
583,ITM10582,33.97,2.23,279.99,181
584,ITM10583,22.19,4.73,19.95,826
585,ITM10584,41.02,2.82,22.34,374
586,ITM10585,10.62,5.51,217.85,117
587,ITM10586,11.05,3.11,176.91,175
588,ITM10587,32.64,8.71,23.34,442
589,ITM10588,42.45,6.27,298.84,451
590,ITM10589,24.14,0.5,178.23,876
591,ITM10590,36.62,8.15,152.66,732
592,ITM10591,49.97,3.64,139.83,385
593,ITM10592,49.52,3.54,213.2,78
594,ITM10593,37.47,4.14,142.92,737
595,ITM10594,37.24,6.49,201.13,868
596,ITM10595,13.13,4.7,151.62,987
597,ITM10596,41.84,6.47,187.11,853
598,ITM10597,20.85,1.89,243.5,893
599,ITM10598,48.14,9.72,246.98,666
600,ITM10599,4.99,7.43,256.22,94
601,ITM10600,22.36,2.88,68.86,150
602,ITM10601,28.24,7.38,27.72,275
603,ITM10602,20.85,5.96,252.48,468
604,ITM10603,11.32,1.54,22.27,665
605,ITM10604,30.06,2.19,71.91,311
606,ITM10605,38.04,0.89,162.6,814
607,ITM10606,32.6,8.19,258.08,726
608,ITM10607,12.49,5.74,270.07,341
609,ITM10608,36.85,3.51,192.13,261
610,ITM10609,13.59,1.7,290.36,705
611,ITM10610,9.58,5.1,221.68,505
612,ITM10611,34.84,5.49,163.04,285
613,ITM10612,42.3,7.17,48.97,583
614,ITM10613,24.6,9.71,134.35,118
615,ITM10614,27.04,4.63,248.48,630
616,ITM10615,15.83,4.36,92.26,295
617,ITM10616,25.24,4.01,177.7,624
618,ITM10617,7.47,8.36,295.2,286
619,ITM10618,47.84,1.99,60.58,380
620,ITM10619,40.22,3.77,39.42,412
621,ITM10620,33.73,7.39,240.72,580
622,ITM10621,27.37,0.65,17.23,792
623,ITM10622,39.82,3.25,196.54,514
624,ITM10623,25.24,6.59,107.37,278
625,ITM10624,15.7,2.27,219.91,919
626,ITM10625,8.86,3.38,44.87,558
627,ITM10626,32.73,5.12,105.71,431
628,ITM10627,46.54,4.51,14.94,176
629,ITM10628,8.53,1.51,78.18,707
630,ITM10629,9.82,9.41,150.15,931
631,ITM10630,22.25,0.92,61.51,890
632,ITM10631,40.54,7.62,183.9,163
