item_id,category,unit_price,handling_cost_per_unit,holding_cost_per_unit_day,item_popularity_score
ITM10088,Pharma,183.42,3.24,1.38,0.19
ITM10089,Groceries,122.43,4.55,0.1,0.47
ITM10090,Groceries,51.35,1.36,0.92,0.97
ITM10091,Electronics,51.8,2.17,1.31,0.46
ITM10092,Groceries,124.74,4.37,1.14,0.43
ITM10093,Groceries,87.28,2.63,1.66,0.73
ITM10094,Electronics,43.68,0.77,1.66,0.26
ITM10095,Groceries,159.61,1.0,1.24,0.43
ITM10096,Automotive,48.05,4.16,0.14,0.36
ITM10097,Apparel,71.11,3.85,0.8,0.64
ITM10098,Apparel,21.67,4.44,0.53,0.25
ITM10099,Electronics,143.26,1.03,0.74,0.59
ITM10100,Pharma,62.3,3.92,1.27,0.87
ITM10101,Electronics,54.24,3.45,0.23,0.56
ITM10102,Pharma,67.64,1.55,0.14,0.72
ITM10103,Apparel,176.08,4.88,0.93,0.17
ITM10104,Electronics,108.42,3.07,1.61,0.5
ITM10105,Automotive,40.0,4.58,0.16,0.19
ITM10106,Groceries,157.15,4.37,1.71,0.64
ITM10107,Pharma,49.61,2.0,0.83,0.35
ITM10108,Groceries,88.37,2.91,0.32,0.36
ITM10109,Groceries,117.93,2.44,1.18,0.17
ITM10110,Electronics,121.04,3.69,1.91,0.38
ITM10111,Groceries,23.12,3.15,1.13,0.56
ITM10112,Automotive,168.99,4.03,1.4,0.63
ITM10113,Groceries,101.09,0.55,1.65,0.16
ITM10114,Electronics,197.96,3.6,1.62,0.69
ITM10115,Automotive,146.31,1.94,0.24,0.54
ITM10116,Apparel,198.59,1.51,1.51,0.58
ITM10117,Groceries,96.16,4.11,1.9,0.85
ITM10118,Electronics,36.75,0.9,1.43,0.41
ITM10119,Apparel,148.19,1.53,1.69,0.26
ITM10120,Apparel,157.77,1.42,1.02,0.6
ITM10121,Pharma,172.04,2.39,0.71,0.95
ITM10122,Automotive,67.28,1.95,1.38,0.57
ITM10123,Groceries,107.03,3.74,1.04,0.85
ITM10124,Electronics,172.93,3.65,1.8,0.78
ITM10125,Pharma,174.3,1.96,1.95,0.57
ITM10126,Automotive,14.88,2.47,1.66,0.68
ITM10127,Pharma,137.47,1.44,1.99,0.47
ITM10128,Automotive,124.32,3.52,0.76,0.58
ITM10129,Automotive,25.83,2.28,1.8,0.56
ITM10130,Groceries,186.73,1.1,0.73,0.74
ITM10131,Automotive,94.62,1.07,0.32,0.47
ITM10132,Pharma,138.11,1.95,1.28,0.19
ITM10133,Automotive,177.73,3.86,0.96,0.81
ITM10134,Groceries,34.72,0.61,1.85,0.72
ITM10135,Groceries,172.61,1.66,1.04,0.96
ITM10136,Pharma,147.62,1.23,1.86,0.49
ITM10137,Apparel,169.52,4.8,0.25,0.17
ITM10138,Apparel,104.02,3.67,1.68,0.21
ITM10139,Automotive,16.36,1.55,1.54,0.8
ITM10140,Electronics,137.4,1.43,1.47,0.16
ITM10141,Automotive,81.16,4.36,0.77,0.92
ITM10142,Pharma,86.46,1.36,1.59,0.35
ITM10143,Pharma,93.84,4.99,1.02,0.91
ITM10144,Pharma,103.65,1.77,1.46,0.8
ITM10145,Pharma,135.77,0.88,1.15,0.88
ITM10146,Pharma,148.09,3.61,0.4,0.29
ITM10147,Groceries,157.6,3.24,0.22,0.64
ITM10148,Apparel,137.61,5.0,0.8,0.18
ITM10149,Pharma,162.66,4.11,1.87,0.28
ITM10150,Electronics,33.21,2.43,1.11,0.38
ITM10151,Electronics,169.0,3.54,1.62,0.77
ITM10152,Electronics,83.58,4.18,1.19,0.12
ITM10153,Electronics,110.47,2.81,1.92,0.91
ITM10154,Groceries,92.42,1.73,0.8,0.16
ITM10155,Electronics,100.39,1.45,0.21,0.44
ITM10156,Pharma,64.23,1.83,1.58,0.17
ITM10157,Automotive,42.29,4.32,1.44,0.79
ITM10158,Electronics,29.93,2.21,1.1,0.23
ITM10159,Groceries,95.77,1.79,0.72,0.9
ITM10160,Groceries,33.8,4.13,0.46,0.58
ITM10161,Electronics,56.55,0.64,1.02,0.95
ITM10162,Automotive,35.39,3.17,1.37,0.36
ITM10163,Electronics,30.73,4.43,1.2,0.51
ITM10164,Groceries,177.67,2.35,0.93,0.72
ITM10165,Apparel,138.06,1.71,1.13,0.85
ITM10166,Pharma,185.51,2.71,0.31,0.48
ITM10167,Groceries,132.36,3.73,1.42,0.9
ITM10168,Electronics,170.35,2.82,1.5,0.21
ITM10169,Pharma,115.51,0.53,0.12,0.74
ITM10170,Electronics,97.9,0.85,0.61,0.41
ITM10171,Electronics,110.41,3.75,0.28,0.19
ITM10172,Apparel,70.84,2.3,2.0,0.45
ITM10173,Pharma,135.01,4.03,1.23,0.89
ITM10174,Pharma,180.46,3.42,0.98,0.98
ITM10175,Apparel,158.65,3.12,0.98,0.45
ITM10176,Groceries,97.78,4.56,1.93,0.9
ITM10177,Electronics,191.24,0.6,1.35,0.56
ITM10178,Automotive,197.23,1.2,0.42,0.75
ITM10179,Electronics,103.69,3.31,0.95,0.14
ITM10180,Electronics,174.28,0.8,1.57,0.6
ITM10181,Groceries,10.91,3.4,0.9,0.16
ITM10182,Electronics,22.66,4.93,0.69,0.34
ITM10183,Apparel,14.25,4.45,1.98,0.61
ITM10184,Apparel,156.9,3.16,1.88,0.83
ITM10185,Pharma,25.16,4.52,1.89,0.6
ITM10186,Automotive,13.24,1.02,0.35,0.94
ITM10187,Electronics,38.01,2.55,0.55,0.83
ITM10188,Electronics,68.2,2.43,0.94,0.24
ITM10189,Groceries,98.29,2.01,1.68,0.45
ITM10190,Apparel,22.43,0.5,1.5,0.7
ITM10191,Automotive,104.81,4.51,1.71,0.94
ITM10192,Pharma,57.13,4.0,1.85,0.99
ITM10193,Apparel,62.13,3.44,1.58,0.79
ITM10194,Pharma,166.16,1.08,0.6,0.62
ITM10195,Groceries,197.52,2.2,0.64,0.78
ITM10196,Groceries,98.13,4.66,0.77,0.35
ITM10197,Electronics,71.14,3.28,0.68,0.36
ITM10198,Automotive,186.98,3.22,0.57,0.69
ITM10199,Pharma,105.09,4.61,1.53,0.88
ITM10200,Apparel,148.77,3.02,0.16,0.97
ITM10201,Groceries,88.61,3.19,1.48,0.41
ITM10202,Electronics,48.48,2.06,1.66,0.82
ITM10203,Electronics,134.43,2.17,0.23,0.87
ITM10204,Pharma,136.32,3.59,0.22,0.66
ITM10205,Groceries,97.43,1.94,0.64,0.41
ITM10206,Automotive,61.29,3.02,0.5,0.66
ITM10207,Groceries,168.04,1.76,1.2,0.63
ITM10208,Pharma,62.31,1.25,1.38,0.65
ITM10209,Pharma,135.21,2.54,1.3,0.66
ITM10210,Groceries,82.96,1.48,0.78,0.86
ITM10211,Pharma,99.77,4.54,1.05,0.25
ITM10212,Groceries,50.17,1.87,1.32,0.43
ITM10213,Apparel,133.4,3.19,0.33,0.63
ITM10214,Groceries,52.91,1.69,0.54,0.35
ITM10215,Groceries,102.29,1.66,1.79,0.98
ITM10216,Pharma,72.41,2.08,0.75,0.34
ITM10217,Pharma,193.09,4.62,1.62,0.52
ITM10218,Electronics,196.62,2.26,0.58,0.89
ITM10219,Electronics,153.16,4.2,0.18,0.17
ITM10220,Apparel,196.94,1.39,1.05,0.84
ITM10221,Electronics,31.57,0.72,1.8,0.61
ITM10222,Groceries,198.54,4.02,1.66,0.13
ITM10223,Pharma,29.68,2.94,0.58,0.91
ITM10224,Electronics,88.94,2.77,1.83,0.14
ITM10225,Electronics,55.4,1.72,1.01,0.56
ITM10226,Apparel,191.23,0.83,0.19,0.14
ITM10227,Apparel,130.8,2.67,0.15,0.16
ITM10228,Groceries,123.45,4.4,1.02,0.9
ITM10229,Pharma,199.51,1.04,1.14,0.79
ITM10230,Apparel,126.36,4.68,0.25,0.28
ITM10231,Electronics,132.77,1.74,1.85,0.66
ITM10232,Pharma,18.51,2.89,1.46,0.82
ITM10233,Pharma,173.22,0.8,1.62,0.9
ITM10234,Electronics,194.32,2.41,1.21,0.52
ITM10235,Apparel,192.46,1.07,1.36,0.91
ITM10236,Electronics,52.01,0.72,0.84,0.56
ITM10237,Pharma,52.92,4.85,1.39,0.72
ITM10238,Automotive,79.55,3.79,1.96,0.98
ITM10239,Automotive,68.94,3.74,1.33,0.31
ITM10240,Groceries,68.07,0.91,0.75,0.25
ITM10241,Electronics,124.99,4.68,0.64,0.41
ITM10242,Electronics,163.07,2.61,1.93,0.25
ITM10243,Groceries,187.99,4.34,0.45,0.36
ITM10244,Groceries,22.89,0.56,1.63,0.77
ITM10245,Groceries,62.82,1.84,0.98,0.53
ITM10246,Pharma,58.45,4.98,0.94,0.44
ITM10247,Electronics,77.91,2.43,1.52,0.43
ITM10248,Pharma,90.62,4.5,0.38,0.28
ITM10249,Groceries,83.94,1.98,0.99,0.5
ITM10250,Electronics,190.91,2.86,0.17,0.66
ITM10251,Pharma,93.05,4.34,1.37,0.23
ITM10252,Pharma,114.8,3.23,0.21,0.98
ITM10253,Groceries,152.24,3.76,0.27,0.5
ITM10254,Electronics,147.77,1.53,1.71,0.95
ITM10255,Groceries,120.76,1.2,0.94,0.22
ITM10256,Electronics,173.56,1.54,0.48,0.79
ITM10257,Automotive,128.59,2.72,1.23,0.66
ITM10258,Apparel,176.2,4.1,1.09,0.84
ITM10259,Apparel,67.53,2.09,0.88,0.64
ITM10260,Apparel,35.08,3.04,1.82,0.97
ITM10261,Groceries,165.71,4.12,1.52,0.66
ITM10262,Automotive,82.68,1.57,0.39,0.81
ITM10263,Electronics,133.71,4.47,1.18,0.89
ITM10264,Pharma,150.09,4.79,0.27,0.74
ITM10265,Electronics,72.07,0.68,0.56,0.57
ITM10266,Pharma,105.98,0.77,1.83,0.35
ITM10267,Electronics,180.04,0.91,0.98,0.87
ITM10268,Automotive,177.16,4.0,1.8,0.53
ITM10269,Pharma,152.38,1.35,0.42,0.66
ITM10270,Groceries,154.92,3.77,0.49,0.17
ITM10271,Electronics,180.56,2.49,0.77,0.55
ITM10272,Electronics,149.9,4.26,0.8,0.73
ITM10273,Pharma,74.52,4.14,1.52,0.63
ITM10274,Groceries,32.95,4.82,1.24,0.5
ITM10275,Groceries,90.16,1.63,1.15,0.3
ITM10276,Automotive,26.6,1.53,1.24,0.38
ITM10277,Groceries,32.0,0.64,1.49,0.73
ITM10278,Groceries,190.53,2.35,1.8,0.3
ITM10279,Groceries,138.42,2.57,0.89,0.66
ITM10280,Apparel,171.81,4.84,1.63,0.63
ITM10281,Automotive,132.15,4.24,1.04,0.97
ITM10282,Electronics,89.52,1.25,1.47,0.15
ITM10283,Pharma,14.78,4.09,1.76,0.2
ITM10284,Electronics,191.61,1.3,0.16,0.56
ITM10285,Automotive,23.48,0.85,1.14,0.57
ITM10286,Pharma,125.93,4.27,1.98,0.14
ITM10287,Automotive,29.42,4.89,1.04,0.84
ITM10288,Groceries,63.99,0.9,1.74,0.55
ITM10289,Pharma,45.31,4.16,0.45,0.41
ITM10290,Groceries,115.21,4.37,1.25,0.39
ITM10291,Electronics,178.54,1.03,1.75,0.88
ITM10292,Electronics,130.77,1.77,0.92,0.28
ITM10293,Pharma,136.2,3.8,1.02,0.24
ITM10294,Pharma,182.7,4.13,0.26,0.29
ITM10295,Automotive,152.39,2.09,0.18,0.66
ITM10296,Automotive,174.53,1.22,0.99,0.83
ITM10297,Groceries,89.11,3.42,1.7,0.4
ITM10298,Pharma,174.42,3.66,1.87,0.26
ITM10299,Electronics,132.71,2.77,1.35,0.29
ITM10300,Automotive,35.77,1.15,1.67,0.66
ITM10301,Automotive,17.36,4.3,1.5,0.32
ITM10302,Electronics,56.37,3.4,1.43,0.89
ITM10303,Automotive,81.89,4.41,1.56,0.19
ITM10304,Groceries,169.14,4.7,1.06,0.13
ITM10305,Pharma,150.84,4.13,0.97,0.18
ITM10306,Electronics,191.52,4.81,0.4,0.86
ITM10307,Pharma,116.24,4.79,1.7,0.69
ITM10308,Automotive,152.07,3.29,0.18,0.96
ITM10309,Automotive,62.3,3.78,0.61,0.4
ITM10310,Electronics,139.12,3.65,1.09,0.29
ITM10311,Groceries,144.17,3.3,1.95,0.61
ITM10312,Apparel,171.2,0.59,1.59,0.58
ITM10313,Electronics,111.92,2.1,0.8,0.63
ITM10314,Apparel,133.31,0.95,1.46,0.41
ITM10315,Apparel,48.58,1.85,1.87,0.11
ITM10316,Groceries,149.98,0.81,1.12,0.13
ITM10317,Apparel,169.3,4.64,0.98,0.7
ITM10318,Apparel,122.81,2.53,1.15,0.57
ITM10319,Groceries,31.98,1.35,0.69,0.84
ITM10320,Apparel,69.44,3.13,1.82,0.37
ITM10321,Apparel,100.35,1.38,1.61,0.83
ITM10322,Apparel,138.66,4.12,1.44,0.48
ITM10323,Electronics,70.86,1.88,1.22,0.19
ITM10324,Electronics,169.66,1.92,1.94,0.98
ITM10325,Electronics,80.64,4.41,0.67,0.56
ITM10326,Groceries,18.14,3.02,0.64,0.67
ITM10327,Automotive,160.86,4.49,0.56,0.7
ITM10328,Apparel,132.4,2.36,1.51,0.43
ITM10329,Apparel,162.37,2.05,1.61,0.77
ITM10330,Groceries,76.29,2.78,1.23,0.88
ITM10331,Apparel,13.35,0.78,1.34,0.45
ITM10332,Electronics,24.01,1.19,0.76,0.69
ITM10333,Automotive,31.24,1.49,0.18,0.78
ITM10334,Pharma,162.98,4.18,0.58,0.27
ITM10335,Apparel,67.27,3.8,1.21,0.4
ITM10336,Electronics,199.6,1.37,1.64,0.2
ITM10337,Pharma,154.09,1.75,1.58,0.64
ITM10338,Automotive,124.22,4.75,0.44,0.82
ITM10339,Pharma,196.89,0.89,0.2,0.65
ITM10340,Electronics,70.1,2.96,1.72,0.26
ITM10341,Pharma,41.47,2.85,0.24,0.59
ITM10342,Groceries,150.08,3.77,0.85,0.85
ITM10343,Pharma,62.84,1.68,0.28,0.37
ITM10344,Apparel,192.6,4.71,1.17,0.85
ITM10345,Apparel,197.73,2.35,0.79,0.81
ITM10346,Groceries,186.02,1.79,0.48,0.12
ITM10347,Electronics,189.5,2.02,1.23,0.32
ITM10348,Apparel,126.97,2.07,0.79,0.59
ITM10349,Automotive,141.5,1.4,0.42,0.75
ITM10350,Apparel,27.91,4.68,1.43,0.89
ITM10351,Apparel,154.98,1.29,1.69,0.68
ITM10352,Electronics,48.39,4.47,0.62,0.44
ITM10353,Pharma,169.66,2.32,0.45,0.27
ITM10354,Apparel,192.69,1.71,0.24,0.78
ITM10355,Groceries,50.35,1.39,1.1,0.29
ITM10356,Pharma,24.83,2.77,1.68,0.73
ITM10357,Automotive,101.94,3.51,0.58,0.26
ITM10358,Electronics,160.39,4.54,0.98,0.18
ITM10359,Automotive,156.42,3.44,0.41,0.33
ITM10360,Pharma,142.4,2.68,0.87,0.36
ITM10361,Pharma,165.93,0.65,0.13,0.68
ITM10362,Pharma,43.25,4.62,1.83,0.24
ITM10363,Automotive,133.87,4.56,1.39,0.94
ITM10364,Pharma,125.08,2.2,0.73,0.6
ITM10365,Automotive,39.15,0.63,1.77,0.54
ITM10366,Pharma,88.74,3.8,0.45,0.49
ITM10367,Groceries,171.98,4.06,0.25,0.61
ITM10368,Pharma,194.64,2.94,1.89,0.12
ITM10369,Automotive,136.43,2.31,0.69,0.99
ITM10370,Apparel,185.17,4.33,1.88,0.6
ITM10371,Pharma,35.09,1.37,1.31,0.13
ITM10372,Apparel,195.26,2.48,1.96,0.63
ITM10373,Groceries,16.37,0.61,1.53,0.49
ITM10374,Electronics,110.18,1.24,0.3,0.12
ITM10375,Groceries,65.29,4.73,1.72,0.93
ITM10376,Pharma,164.64,3.1,0.38,0.11
ITM10377,Apparel,51.33,4.13,1.42,0.62
ITM10378,Apparel,12.19,2.69,1.05,0.97
ITM10379,Automotive,88.78,4.26,1.44,0.31
ITM10380,Apparel,22.18,2.93,1.55,0.33
ITM10381,Automotive,65.12,0.52,1.63,0.1
ITM10382,Electronics,132.31,4.55,1.69,0.16
ITM10383,Pharma,65.99,1.17,1.71,0.14
ITM10384,Automotive,56.7,2.53,0.88,0.84
ITM10385,Electronics,39.54,2.65,1.79,0.85
ITM10386,Apparel,35.68,0.71,1.47,0.75
ITM10387,Apparel,109.91,0.74,1.69,0.42
ITM10388,Electronics,139.49,3.93,1.98,0.84
ITM10389,Apparel,96.02,1.85,0.32,0.59
ITM10390,Electronics,33.48,2.34,0.8,0.37
ITM10391,Automotive,133.07,3.04,1.63,0.49
ITM10392,Automotive,115.85,2.18,0.26,0.16
ITM10393,Electronics,82.44,3.99,1.13,0.95
ITM10394,Automotive,72.71,4.48,1.73,0.66
ITM10395,Automotive,44.8,0.77,0.14,0.76
ITM10396,Automotive,37.8,3.36,1.89,0.71
ITM10397,Groceries,74.37,1.93,1.96,0.7
ITM10398,Pharma,17.91,3.12,0.71,0.12
ITM10399,Apparel,92.96,2.68,1.56,0.57
ITM10400,Groceries,124.3,2.0,0.34,0.84
ITM10401,Automotive,188.91,0.93,1.57,0.14
ITM10402,Electronics,128.91,3.02,1.01,0.96
ITM10403,Automotive,128.57,1.01,1.73,0.48
ITM10404,Pharma,81.14,1.2,0.5,0.36
ITM10405,Automotive,35.33,4.92,1.38,0.58
ITM10406,Electronics,94.92,1.93,1.59,0.82
ITM10407,Pharma,123.75,3.13,0.48,0.53
ITM10408,Automotive,147.57,1.73,1.65,0.68
ITM10409,Pharma,166.96,4.39,1.92,0.55
ITM10410,Apparel,58.63,1.78,1.27,0.67
ITM10411,Apparel,55.83,2.15,1.59,0.22
ITM10412,Automotive,117.41,3.24,1.11,0.13
ITM10413,Pharma,117.54,4.41,1.24,0.22
ITM10414,Electronics,51.41,4.17,0.13,0.36
ITM10415,Automotive,121.62,1.69,1.1,0.33
ITM10416,Apparel,75.72,4.23,1.19,0.65
ITM10417,Apparel,131.47,3.66,1.37,0.51
ITM10418,Automotive,65.3,4.95,0.42,0.13
ITM10419,Pharma,122.54,4.71,0.56,0.13
ITM10420,Apparel,155.98,2.9,1.54,0.18
ITM10421,Pharma,196.23,3.87,0.42,0.42
ITM10422,Apparel,183.1,3.07,0.89,0.11
ITM10423,Apparel,105.67,3.18,0.58,0.54
ITM10424,Groceries,102.79,0.96,1.14,0.42
ITM10425,Apparel,93.16,0.51,1.98,0.6
ITM10426,Electronics,15.27,0.72,1.72,0.75
ITM10427,Automotive,41.53,4.85,0.61,0.33
ITM10428,Automotive,21.25,1.07,0.8,0.24
ITM10429,Pharma,142.31,0.7,1.85,0.35
ITM10430,Apparel,88.51,1.89,1.81,0.1
ITM10431,Electronics,22.12,3.15,0.41,0.21
ITM10432,Pharma,141.21,4.77,1.68,0.78
ITM10433,Groceries,132.44,3.65,0.67,0.3
ITM10434,Pharma,146.79,1.74,1.13,0.99
ITM10435,Pharma,123.97,4.73,0.11,0.25
ITM10436,Apparel,40.69,0.66,2.0,0.81
ITM10437,Groceries,21.66,4.91,1.55,0.73
ITM10438,Pharma,165.26,0.76,0.56,0.39
ITM10439,Electronics,51.0,3.89,1.4,0.4
ITM10440,Electronics,113.08,0.7,0.66,0.61
ITM10441,Automotive,102.19,4.69,0.27,0.87
ITM10442,Groceries,185.0,0.99,0.91,0.45
ITM10443,Groceries,114.96,0.73,1.27,0.16
ITM10444,Automotive,120.2,4.5,0.27,0.44
ITM10445,Pharma,70.71,0.93,1.08,0.29
ITM10446,Groceries,192.15,4.09,1.08,0.95
ITM10447,Electronics,126.35,3.86,1.29,0.73
ITM10448,Electronics,10.95,3.19,0.56,0.15
ITM10449,Apparel,115.66,2.2,0.14,0.36
ITM10450,Groceries,79.13,4.62,0.72,0.15
ITM10451,Pharma,16.1,4.42,0.86,0.85
ITM10452,Automotive,91.99,2.42,1.31,0.92
ITM10453,Automotive,156.98,1.54,1.87,0.2
ITM10454,Pharma,105.72,1.73,0.49,0.5
ITM10455,Apparel,131.5,1.49,1.41,0.94
ITM10456,Automotive,131.55,2.94,0.29,0.23
ITM10457,Groceries,137.49,4.41,0.46,0.36
ITM10458,Apparel,83.64,3.98,1.07,0.37
ITM10459,Groceries,80.3,4.08,1.45,0.13
ITM10460,Electronics,10.87,2.52,1.73,0.13
ITM10461,Apparel,39.3,1.95,1.51,0.96
ITM10462,Automotive,190.65,3.91,0.13,0.61
ITM10463,Apparel,170.06,4.07,1.4,0.38
ITM10464,Apparel,62.27,3.63,1.67,0.44
ITM10465,Apparel,86.23,0.64,1.1,0.74
ITM10466,Apparel,188.59,3.15,1.93,0.43
ITM10467,Groceries,57.58,2.06,0.11,0.3
ITM10468,Electronics,111.18,1.38,1.66,0.19
ITM10469,Pharma,14.2,3.62,0.74,0.76
ITM10470,Apparel,127.75,1.71,1.34,0.26
ITM10471,Automotive,186.71,4.61,1.42,0.16
ITM10472,Apparel,178.1,1.84,0.68,0.48
ITM10473,Automotive,105.37,3.0,1.99,0.14
ITM10474,Groceries,133.43,4.22,0.3,0.97
ITM10475,Automotive,118.26,2.31,0.4,0.66
ITM10476,Pharma,22.73,4.23,1.8,0.24
ITM10477,Electronics,40.16,3.76,0.33,0.26
ITM10478,Automotive,193.13,4.64,0.82,0.61
ITM10479,Automotive,58.63,1.97,1.49,0.42
ITM10480,Electronics,83.05,0.97,1.6,0.8
ITM10481,Pharma,106.7,2.44,1.91,0.59
ITM10482,Apparel,196.04,4.04,1.6,0.49
ITM10483,Automotive,141.1,2.53,1.7,0.97
ITM10484,Electronics,129.62,1.68,1.9,0.45
ITM10485,Groceries,109.64,0.62,1.15,0.46
ITM10486,Electronics,143.13,1.91,0.75,0.7
ITM10487,Groceries,136.16,3.71,1.55,0.83
ITM10488,Pharma,181.54,1.16,0.41,0.66
ITM10489,Apparel,112.95,2.03,0.23,0.73
ITM10490,Electronics,90.09,0.59,1.59,0.44
ITM10491,Automotive,163.36,3.75,1.91,0.53
ITM10492,Pharma,161.96,4.46,0.94,0.28
ITM10493,Electronics,42.27,3.06,0.41,0.71
ITM10494,Automotive,54.99,0.62,1.04,0.3
ITM10495,Electronics,192.14,1.48,0.85,0.1
ITM10496,Groceries,94.38,2.47,0.81,0.94
ITM10497,Electronics,108.74,3.14,1.29,0.38
ITM10498,Electronics,68.93,2.73,0.43,0.28
ITM10499,Electronics,101.4,4.62,0.82,0.34
ITM10500,Pharma,151.24,4.72,1.75,0.4
ITM10501,Electronics,101.65,0.98,1.49,0.53
ITM10502,Automotive,69.81,1.12,0.21,0.16
ITM10503,Groceries,28.24,2.11,1.08,0.15
ITM10504,Groceries,186.37,2.4,0.27,0.36
ITM10505,Electronics,175.61,3.14,1.92,0.37
ITM10506,Pharma,160.36,3.98,0.56,0.21
ITM10507,Pharma,141.87,1.11,1.87,0.46
ITM10508,Automotive,107.95,4.11,1.68,0.36
ITM10509,Electronics,180.51,3.25,1.15,0.12
ITM10510,Groceries,160.42,4.91,0.74,0.9
ITM10511,Pharma,165.04,3.43,1.73,0.9
ITM10512,Electronics,68.81,3.72,0.39,0.29
ITM10513,Pharma,90.46,1.38,0.44,0.25
ITM10514,Pharma,144.29,3.96,0.53,0.59
